,Bin,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM,upper bin,lower bin
0,"-3,-2.5",-0.511142306075535,-0.476993793717577,-0.3369126713577419,-0.4165968336652899,-0.3981980411887966,-2.5,-3.0
1,"-2.5,-2.0",-0.414289425941446,-0.4211346738755034,-0.5010434968566195,-0.3959695014695902,-0.3237923979382351,-2.0,-2.5
2,"-2.0,-1.5",-0.5512353866716192,-0.5372010740755215,-0.4647260057376149,-0.4329162430281066,-0.3183224263434406,-1.5,-2.0
3,"-1.5,-1.0",-0.3676854937007844,-0.3312505261677862,-0.3524577391701515,-0.3108917225751449,-0.2579580060215843,-1.0,-1.5
4,"-1.0,-0.5",-0.2098946935158973,-0.1986084198684174,-0.1737628299630049,-0.1537718407778207,-0.1284476949163962,-0.5,-1.0
5,"-0.5,0.0",-0.057873499084298,-0.054873100966367,-0.0467577334040025,-0.037162964573683,-0.0514989738222159,0.0,-0.5
6,"0.0,0.5",0.0715981533062086,0.074074502291957,0.1049207141696586,0.0899696326005237,0.0903511966289558,0.5,0.0
7,"0.5,1.0",0.1965754077801029,0.1917679637742797,0.1442621282501827,0.1373551341917695,0.1355878638603143,1.0,0.5
8,"1.0,1.5",0.3594054465433648,0.3223299162301462,0.314814102743118,0.265968027143834,0.1721861256091078,1.5,1.0
9,"1.5,2.0",0.3691711262993433,0.4215586030124917,0.3290184204866533,0.3104585112241956,0.2446299373761058,2.0,1.5
10,"2.0,2.5",0.4553170380238161,0.3778615960710774,0.3014159207022081,0.2037920390719409,0.2605506782676244,2.5,2.0
11,"2.5,3.0",0.447166135612129,0.43512278360157,0.4994800064454527,0.4080524814964837,0.3986299387671734,3.0,2.5
