File,aid,Date,0,2,8,10,16,18,105,113,115,157
FparLai_QC_2005365_aid0001,aid0001,2005-12-31,,2.0,19.0,45.0,2.0,69.0,,,1.0,6
FparLai_QC_2006001_aid0001,aid0001,2006-01-01,22.0,,13.0,8.0,91.0,4.0,,,,6
FparLai_QC_2006005_aid0001,aid0001,2006-01-05,127.0,9.0,,,2.0,,,,,6
FparLai_QC_2006009_aid0001,aid0001,2006-01-09,5.0,66.0,,,,67.0,,,,6
FparLai_QC_2006013_aid0001,aid0001,2006-01-13,5.0,,54.0,47.0,5.0,,26.0,1.0,,6
FparLai_QC_2006017_aid0001,aid0001,2006-01-17,85.0,44.0,,1.0,1.0,7.0,,,,6
FparLai_QC_2006021_aid0001,aid0001,2006-01-21,10.0,124.0,,,,4.0,,,,6
FparLai_QC_2006025_aid0001,aid0001,2006-01-25,128.0,1.0,,,,9.0,,,,6
FparLai_QC_2006029_aid0001,aid0001,2006-01-29,,119.0,11.0,,5.0,3.0,,,,6
